Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage,Face value,Current price,,
Glip,2020,Delaware,Software,Glip is a creator tool suite for gamers to create and monetise.,"Brett Paden, Claudio Pinkus, David Hersh, Jeff Strinko, Peter Pezaris",Better Capita,"$3,000,000",Seed,14,39,,
Hubble,2014,London,Commercial Real State,"A platform to search, set up, and manage your hybrid workplace","Rohan Silva, Tom Watson, Tushar Agarwal",Pi Labs and Upscale,"$12,300,000",undisclosed,14,41,,
Eximpe,2021,"Eximpe is Managing sellers, buyers, processes, payments, and financial services.",Arjun Zacharia,Axel Wehr and Rohit M.A.,"$270,000,000",Seed,,,12,24,,
Limechat,2020,Faridabad,Software,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Aniket Bajpai, Nikhil Gupta",Pi Ventures and Stellaris Venture Partners,"$5,000,000",Seed,17,25,,
Medisage,2019,Mumbai,Healthcare,"Medisage Connect with Global doctors, watch video case studies by subject matter experts",,Bessemer Venture Partners and Siddharth Sikchi,"$530,000,000",undisclosed,15,32,,
Spyne,2018,Gurgaon,Software,Spyne is a Deep Tech startup helping businesses and marketplaces create and upgrade high-quality product images and videos at scale with AI.,"Deepti Prasad, Sanjay Kumar",Pentathlon Ventures and Core91 Fund,"$7,000,000",Series A,10,28,,
Stockal,2016,Newyork,Finance,Stockal is the platform for cross-border savings and investments.,"Rajan K Natarajan, Sitashwa Srivastava, Vinay Bharathwaj",Hashed and A'Z Angels,"$14,800,000",Series A,17,40,,
YouKraft,2020,Banglore,Publishing,YouKraft is an e-commerce marketplace for all things interio,,Goel Family Office,$76000000,Seed,11,22,,
EPNS,2020,BUIDLing World's First Decentralized Notification Protocol on Ethereum,"Harsh Rajat, Richa Joshi",BR Capital and LD Capital,,Seed,"$66,000,000",,17,21,,
Securden,2018,Delaware,Artificial Intelligence,Securden is a Windows Privilege Management Software,"Balasubramanian Venkatramani, Kumaran Balan",Accel and Tiger Global Management,"$11,700,000",Series A,12,18,,
Mesh,2020,San Jose,Enterprise Software,Mesh is a social performance management platform for today's workforce.,"Gaurav Chaubey, Rahul Singh, Saurabh Nangia",Ankit Nagori and Sumon Sadhu,"$16,100,000",Series A,8,28,,
Last9,2020,Santa Clara,Software,Last9 is a Site Reliability Engineering platform that helps improve production systems.,"Nishant Modak, Piyush Verma",Better Capital and Sequoia Capital India,"$13,000,000",Series A,15,22,,
